Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
"______ always reminds ""Insert Name"" of fun times with his/her grandma.",,Personally Incorrect - Expansion 2 [Yellow Box],Stand Alone Games,,,(1/2 * your age) + 7,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
"______ always starts out fun until ""Insert Name"" gets involved.",,Personally Incorrect - Expansion [Red Box],Stand Alone Games,,,(An) eggplant emoji.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
______ and ______ = heaven on Earth,PICK 2,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,(I am doing Kegels right now.),CAH Base Set,CAH Base Set,
______ and ______ are a love story for the ages!,PICK 2,The Game Without Decency,Stand Alone Games,,,(Sleeping Beauty's curse) A magical prick,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
"______ and ______ inevitably lead to the phrase ""Happiness is secured.""",PICK 2,Disgruntled Decks: Navy Edition,Stand Alone Games,,,(wub)(wub)(wub),Carbs of the Huge Manatee: Dance Expansion 1,Third Party Commercial,
______ and ______ make for the best family vacations.,PICK 2,KinderPerfect (Commercial Set),Third Party Commercial,,,[A picture of Sean Connery in the movie Zardoz],Sci-Fi Pack,CAH Packs/Commercial Packs,
______ and ______ make the USMC the most homophobic AND homoerotic service branch.,PICK 2,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,,,[banana condom],Evil Apples,Stand Alone Games,
______ and _______ make an unbeatable romantic combination.,PICK 2,The Game Without Decency,Stand Alone Games,,,[Chewbacca Noise].,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,
______ and ______: may they never meet.,PICK 2,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,[image of eastern gray squirrel],Cols Against Kentucky 2,Third Party Commercial,
______ and loneliness are a dangerous combination.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,[Jesus playing beer pong],Evil Apples,Stand Alone Games,
______ are out to get me.,,Conspiracy Theory,Stand Alone Games,,,[Player to your left]'s reproductive organ.,Cards With No Sexuality,Third Party Commercial,
______ be all like ______.,PICK 2,CAH: Green Box Expansion,CAH Expansions,,,[tentacles toilet],Evil Apples,Stand Alone Games,
______ bought 100 million rounds of ammunition last year because of ______.,PICK 2,Conspiracy Theory,Stand Alone Games,,,[The state-of-the-art Orgasmatron 8000],Evil Apples,Stand Alone Games,
______ brings all the boys to the yard.,,Cards and Punishment Vol. One,Third Party Commercial,,,[Washing instructions graphic],Knitters Against Swatches Second Edition,Third Party Commercial,
______ brings all the boys to the yard.,,Words Against Morality: Volume 3,Third Party Commercial,,,/Piss Christ/.,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,
______ broke six of my ribs.,,Words Against Morality: Volume 3,Third Party Commercial,,,#Awesome,Cards for the Masses,Stand Alone Games,
______ builds trust between friends.,,Not Parent Approved Expansion Pack #1,Stand Alone Games,,,#blackfridaymatters,Humanity Hates The Holidays,Stand Alone Games,
______ burns 360 calories per hour.,,Cards for the Masses,Stand Alone Games,,,#BlackLivesMatter movement.,Humanity Hates Trump: Base Set,Stand Alone Games,
______ can be too much of a good thing.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,#BlackLivesMatter rally.,WTF Did You Say?!?,Stand Alone Games,
______ can help any relationship,,Words Against Morality: Volume 4,Third Party Commercial,,,#BlackLivesMatter., 2016 Election Game ,Stand Alone Games,
______ can help any relationship.,,Cards for the Masses,Stand Alone Games,,,#diaperfail,Cads About Maternity - A game for bad mommies,Stand Alone Games,
______ can save you 15% or more on car insurance.,,Cards for the Masses,Stand Alone Games,,,#fearvokallchicks.,Hilarious!,Stand Alone Games,
______ clearly places this cluster fuck of a mission in the red.,,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,,,#Hashtag,Kids Against Maturity,Stand Alone Games,
______ created a new sexual position that involves liberal use of _______,PICK 2,The Game Without Decency,Stand Alone Games,,,"#occupy or #octopi, whichever",Conspiracy Theory,Stand Alone Games,
"______ don’t want none unless you got buns, hon.",,Dick,Stand Alone Games,,,#YOLO.,Cakes Athirst Hilarity Volume 4,Third Party Commercial,
______ For Dummies is actually the best-selling book in the series.,,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,,,|Getting so angry that you pop a boner.,Hilarious!,Stand Alone Games,
______ fun for the whole family!,,Clones Attack Hilarity #1,Third Party Commercial,,,|Oral sex that tastes like urine.,Hilarious!,Stand Alone Games,
______ gave me a really bad reputation in middle school.,,Evil Apples,Stand Alone Games,,,∩ (O_O) ∩,WTF Did You Say?!?,Stand Alone Games,
______ gave me AIDS.,,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,,,$1.25 per day,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
______ gave me my very first orgasm.,,Evil Apples,Stand Alone Games,,,"$10,000 worth of silica gel.",Desert Bus For Hope Pack,CAH Packs/Limited Release Packs,
______ gets me all hot and bothered.,,Words Against Morality: Volume 1,Third Party Commercial,,,$13 worth of Taco Bell,The Game Without Decency,Stand Alone Games,
______ gives Dad bad gas.,,Kids Against Maturity,Stand Alone Games,,,$15 minimum wage., 2016 Election Game ,Stand Alone Games,
______ got kicked out of the local Stitch and Bitch group for ______.,PICK 2,Knitters Against Swatches Second Edition,Third Party Commercial,,,"$16,000 in cash, a kilo of hashish, and eight belly dancers.",Cads About Matrimony Poly Pack,Stand Alone Games,
______ got me banned from the Liberty Lounge for life.,,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,,,$2 beer pitcher night at the base bowling alley.,Charlie Foxtrot,Third Party Commercial,
______ had me bedridden for months.,,Evil Apples,Stand Alone Games,,,$20 Tinnies,Kiwis Against Morality,Stand Alone Games,
______ has become part of my daily routine.,,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,,,"$20,000 trip from Honduras to Texas hiding in the back of the troka.",Bad Hombres Against Fake News Pack 1,Third Party Commercial,
______ has been scientifically proven to cause cancer.,,Words Against Morality: Volume 2,Third Party Commercial,,,$200/hour,Skewered And Roasted,Stand Alone Games,
______ has me questioning my life choices.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,$300 worth of vanilla yogurt.,WTF Did You Say?!?,Stand Alone Games,
______ has taken more lives than Hitler and smoking combined.,,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,,,$68 in pennies.,Cakes Athirst Hilarity Volume 4,Third Party Commercial,
______ has taken over _____ in the service of Great Cthulu.,PICK 2,Conspiracy Theory - Kickstarter Bonus Cards Pack,Stand Alone Games,,,1 weird trick that will make everyone around you ejaculate,Evil Apples,Stand Alone Games,
______ in your car triples your chance of being pulled over.,,Words Against Morality: Volume 3,Third Party Commercial,,,1.2 pounds of shit hitting a fan.,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
______ invented time travel.,,Kids Against Maturity,Stand Alone Games,,,10 bucks,Kiwis Against Morality,Stand Alone Games,
______ is a bad idea. The More You Know …,,Words Against Morality: Volume 1,Third Party Commercial,,,10 feet of snow in 2 days.,Blurbs Against Buffalo,Third Party Commercial,
______ is a dying art form.,,Not Parent Approved Expansion Pack #1,Stand Alone Games,,,10 football players with erections barrelling towards you at full speed.,CAH: Green Box Expansion,CAH Expansions,
______ is a f**king nihgtmare!,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,10 Incredible Facts About the Anus.,CAH: Blue Box Expansion,CAH Expansions,
______ is a great way to look and feel younger.,,The Game Without Decency,Stand Alone Games,,,10 Incredible Facts About the Anus.,CAH: Fourth Expansion,CAH Expansions,
"______ is a healthy meal, right?",,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,,,10 pounds of crap in a 5-pound bag,The Game Without Decency,Stand Alone Games,
______ is a relationship deal-breaker for me.,,WTF Did You Say?!?,Stand Alone Games,,,"10,000 shrieking teenage girls.",CAH: Green Box Expansion,CAH Expansions,
______ is a slippery slope that leads to ______.,PICK 2,CAH Base Set,CAH Base Set,,,"10,000 Syrian refugees.",CAH Base Set,CAH Base Set,
______ is a slippery slope that leads to ______.,PICK 2,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,"10,800 barrels of beer",Dick,Stand Alone Games,
______ is a sure sign of mankind's decline.,,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,100 beachfront acres of shimmering white privilege.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
______ is a surprisingly tasty pizza topping.,,Not Parent Approved Expansion Pack #1,Stand Alone Games,,,100 foreskins in a bucket,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
______ is a timeless symbol of parenthood.,,KinderPerfect (Commercial Set),Third Party Commercial,,,100 percent Chinese ties.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
______ is a well-known sign of virility.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,100 pounds of bull semen,The Game Without Decency,Stand Alone Games,
______ is actually pretty hot.,,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,,,100 tons of Mafia concrete.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
"______ is by far the most important item in the ""Fresh Out of Boot Camp"" starter pack.",,Disgruntled Decks: Navy Edition,Stand Alone Games,,,100 wheelchair-bound children rolling around in the back of a C-5.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
______ is considered a compliment in most of Europe.,,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,,,"100,000 dollars, alcohol, and 4 weeks of vacation.",Voter's Choice: The Third Expansion,Third Party Commercial,
______ is covering up the zombification of the population of Kansas.,,Conspiracy Theory,Stand Alone Games,,,100% accurate gaydar.,WTF Did You Say?!?,Stand Alone Games,
______ is Daddy's job.,,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,100% All-Beef Thermometer.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
______ is even tastier when it is covered with ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,100% certified human breast milk.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives,
______ is finger licking good.,,Cakes Athirst Hilarity Volume 2,Third Party Commercial,,,100% hearthfelt compassion.,Hilarious!,Stand Alone Games,
______ is getting rich smuggling ______.,PICK 2,Conspiracy Theory,Stand Alone Games,,,100% Pure New Zealand.,CAH Base Set,CAH Base Set,
______ is going to make me rich!,,Not Parent Approved Expansion Pack #2,Stand Alone Games,,,12-hour Netflix marathons,Cards Against Profanity,Stand Alone Games,
______ is in the mystery meat.,,Cakes Athirst Hilarity Volume 4,Third Party Commercial,,,"12,000 ants.",Voter's Choice: The Fourth Expansion,Third Party Commercial,
______ is just showing off.,,Cards Against Profanity,Stand Alone Games,,,"144,000 lbs. of cheese",Dick,Stand Alone Games,
"______ is many things to many people, as you will see and learn.",,Crabs Adjust Humidity: Volume 5,Third Party Commercial,,,15 wild badgers living in my trousers.,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
______ is merely a puppet of _______.,PICK 2,Conspiracy Theory,Stand Alone Games,,,16 years of service and my pay still sucks.,Charlie Foxtrot,Third Party Commercial,
______ is my co-pilot.,,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,,,172 thumbtacks,The Game Without Decency,Stand Alone Games,
______ is my motivation.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,18 books on how to fail as a parent,Cads About Maternity - A game for bad mommies,Stand Alone Games,
______ is my way of giving back to the community.,,Cats Abiding Horribly: Episode I - The Dirty Goblin,Third Party Commercial,,,1am drink requests,KinderPerfect (Commercial Set),Third Party Commercial,
______ is no stranger to an AGE Ranger!,,Disgruntled Decks: Air Force Edition,Stand Alone Games,,,1st Degree Murder,Personally Incorrect,Stand Alone Games,
______ is no way to go through life. Kid.,,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Third Party Commercial,,,1st grade social calendars,KinderPerfect (Commercial Set),Third Party Commercial,
______ is not reimbursable.,,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,,,1st place in the talent show,Cards Against Profanity,Stand Alone Games,
______ is now the emperor of ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,1st Sgt's second ex-wife.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
______ is our new performance indicator.,,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,,,2 girls 1 cockroach,Pigs Against Profanity: Volume 1,Third Party Commercial,
"______ is rare. If you find it, keep it.",,Cards for the Masses,Stand Alone Games,,,2 Girls 1 Cup.,CAH Base Set,CAH Base Set,
______ is reporting to Putin right now.,,Conspiracy Theory,Stand Alone Games,,,2.5 kids.,Babies vs. Parents,Stand Alone Games,
______ is subverting the natural order with _______.,PICK 2,Conspiracy Theory,Stand Alone Games,,,2% Milk,Cows Grilling Hamburgers - Patty Pack #1,Third Party Commercial,
______ is the active ingredient in cigarettes.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,20 fuckin whacks…,Kiwis Against Morality,Stand Alone Games,
______ is the best birth control.,,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,,,20 pieces of sweet Chicken McNugget goodness.,Clones Attack Hilarity #1,Third Party Commercial,
______ is the best birth control.,,KinderPerfect (Commercial Set),Third Party Commercial,,,20 years of paid maternity leave,Cads About Maternity - A game for bad mommies,Stand Alone Games,
______ is the best indication why Asians are such bad drivers.,,Cakes Athirst Hilarity Volume 3,Third Party Commercial,,,"20,000 Leagues Under the Sea™",Kids Against Maturity,Stand Alone Games,
______ is the best thing since ______.,PICK 2,WTF Did You Say?!?,Stand Alone Games,,,200 lusty seamen on shore for just one night,Evil Apples,Stand Alone Games,
______ is the best way to avoid volunteering for the PTA.,,Cards Against Profanity,Stand Alone Games,,,200 years of slavery.,2014 Holiday Pack,CAH Packs/Holiday Packs,
______ is the gift that keeps on giving.,,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,20g of street tik,Cards Against/For South Africa,Stand Alone Games,
______ is the key to a healthy lifestyle,,Not Parent Approved Expansion Pack #2,Stand Alone Games,,,20g of Street tik.,Hilarious!,Stand Alone Games,
______ is the key to recovery.,,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,,,23-star Sheriff David Clarke.,Trumped UpCards: Many Sides  Expansion Pack,Stand Alone Games,
______ is the leading cause for blindness in white males.,,Cakes Athirst Hilarity Volume 3,Third Party Commercial,,,24-hour media coverage.,CAH: First Expansion,CAH Expansions,
______ is the moment my kid lost their innocence.,,KinderPerfect: Tween Expansion Pack,Third Party Commercial,,,24-hour media coverage.,CAH: Red Box Expansion,CAH Expansions,
______ is the new ______.,PICK 2,Bards Dispense Profanity,Stand Alone Games,,,25 shitty jokes about House of Cards.,House of Cards Pack,CAH Packs/Limited Release Packs,
______ is the new ______.,PICK 2,Cards and Punishment Vol. One,Third Party Commercial,,,27 tonnes of 1080 pellets,Kiwis Against Morality,Stand Alone Games,
______ is the new black according to everyone.,,The Game Without Decency,Stand Alone Games,,,2nd child issues,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
______ is the new spokesperson for ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,3 Dimensional spatial awarness.,Hilarious!,Stand Alone Games,
______ is the next development panacea.,,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,,,3 egg omelettes.,Hilarious!,Stand Alone Games,
______ is the only thing more patriotic than Master Chief Carl Brashear's prosthetic leg.,,Disgruntled Decks: Navy Edition,Stand Alone Games,,,3 positive pregnancy tests and still not convinced,KinderPerfect (Commercial Set),Third Party Commercial,
______ is the only thing that gets me out of bed in the morning.,,Evil Apples,Stand Alone Games,,,3 veiny Triumphant black dicksTongue punching Donald Trump`s turd tunnel,Pigs Against Profanity: Volume 2,Third Party Commercial,
______ is the secret ingredient in Coca-Cola®.,,Not Parent Approved Expansion Pack #1,Stand Alone Games,,,3.7 billion women.,Crabs Adjust Humidity: Volume 6,Third Party Commercial,
______ is the secrt ingredient in Grandma's famous pies.,,Kids Against Maturity,Stand Alone Games,,,3.7 billion years of evolution.,Science Pack,CAH Packs/Commercial Packs,
______ is the tool of ______ to reduce world population.,PICK 2,Conspiracy Theory,Stand Alone Games,,,3.9 billion years of evolution.,Cakes Athirst Hilarity Volume 1,Third Party Commercial,
______ is totally acceptable. If you're a freak.,,Words Against Morality: Volume 1,Third Party Commercial,,,"3/4th ounce of bitters, another 3/4th ounce of bitters, yet another 3/4th ounce of bitters, 3 ounces of orange bitters, 3 ounces of gin in a tall glass over ice. Garnish with an orange slice and tears.",Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
______ is wasted on the youth.,,Cakes Athirst Hilarity Volume 3,Third Party Commercial,,,30 grown adults crawling around on all-fours.,Theatre Pack - CATS Musical Pack,CAH Packs/Limited Release Packs,
______ is way better in ______ mode.,,Geek Pack,CAH Packs/Commercial Packs,,,30 shirtless bears emerging from the fog.,Pride Pack,CAH Packs/Limited Release Packs,
______ is way better in ______ mode.,PICK 2,PAX East 2014,CAH Packs/Con Exclusives,,,"300 days of sunshine, 365 days of white people.",The Worst Card Game: Colorado Edition,Third Party Commercial,
______ is well-known for professional-looking ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,38-Double Ds,Personally Incorrect,Stand Alone Games,
______ is what is ruining this country.,,Evil Apples,Stand Alone Games,,,380 grams of heroin.,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
______ is why I am a failure as a parent.,,KinderPerfect (Commercial Set),Third Party Commercial,,,3d Cavalry Regiment's drivers training program.,Disgruntled Decks: Army Edition,Stand Alone Games,
______ is why I can never run for PTA president.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,3D printed sex toys.,Clones Attack Hilarity #1,Third Party Commercial,
______ is why I have gray hair now.,,KinderPerfect: Tween Expansion Pack,Third Party Commercial,,,4 wraps of heroin,Pigs Against Profanity: Volume 1,Third Party Commercial,
______ is why I need feminism.,,Cats Abiding Horribly: Episode II - A New Low,Third Party Commercial,,,40 acres and a mule.,CAH: Blue Box Expansion,CAH Expansions,
______ is why I'm not a chaperon.,,KinderPerfect: Tween Expansion Pack,Third Party Commercial,,,40 acres and a mule.,CAH: Fifth Expansion,CAH Expansions,
______ is why we can't have nice things.,,Cards and Punishment Vol. One,Third Party Commercial,,,400 years of colonial atrocities.,CAH Base Set,CAH Base Set,
______ is why we can't have nice things.,,KinderPerfect (Commercial Set),Third Party Commercial,,,400 years of colonial atrocities.,CAH: UK Conversion Kit,CAH Base Set,
______ is worse than ______.,PICK 2,KinderPerfect: Tween Expansion Pack,Third Party Commercial,,,41 million Americans living in poverty.,Gen Con 2018 Midterm Election Pack,CAH Packs/Con Exclusives,
______ is worse than stepping on a Lego.,,KinderPerfect (Commercial Set),Third Party Commercial,,,42 Happy Meal toys,The Game Without Decency,Stand Alone Games,
"______ isn't illegal, right?",,"Crows Adopt Vulgarity, Vol. 3",Third Party Commercial,,,48 hour labor,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
______ kills about 450 people in the United States a year.,,Cards for the Masses,Stand Alone Games,,,48 hour labor,KinderPerfect (Commercial Set),Third Party Commercial,
______ kills the mood every time.,,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,,,5 de Mayo celebrations.,Bad Hombres Against Fake News Pack 1,Third Party Commercial,
______ made me rethink my sexual orientation.,,Cakes Athirst Hilarity Volume 4,Third Party Commercial,,,50 bullets dipped in pig's blood.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
______ made my moneyshot twice as powerful.,,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,,,50 mg of Zoloft daily.,CAH Base Set,CAH Base Set,
"______ makes ""Insert Name"" scream at the top of his/her lungs.",,Personally Incorrect,Stand Alone Games,,,50 Shades of Haze Gray.,Disgruntled Decks: Navy Edition,Stand Alone Games,
______ makes a questionable gift for your parents.,,WTF Did You Say?!?,Stand Alone Games,,,50 Shades of Off-White.,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
______ makes me feel like the most desirable person in the world.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,50 skeins of acrylic yarn.,Knitters Against Swatches First Edition,Third Party Commercial,
______ makes me have to shit SO BAD!,,Cakes Athirst Hilarity Volume 4,Third Party Commercial,,,"50,000 volts straight to the nipples.",CAH Base Set,CAH Base Set,
______ makes your PFT score go down faster than a Thai hooker during Cobra Gold!,,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,,,500 hours of court-ordered community service.,Hilarious!,Stand Alone Games,
"______ may pass, but ______ will last forever.",PICK 2,CAH: Blue Box Expansion,CAH Expansions,,,500 sporks,The Game Without Decency,Stand Alone Games,
"______ may pass, but ______ will last forever.",PICK 2,CAH: Fourth Expansion,CAH Expansions,,,6 year old with a smartphone,KinderPerfect (Commercial Set),Third Party Commercial,
"______ melts in your mouth, not in your hand.",,WTF Did You Say?!?,Stand Alone Games,,,6-inch heels,The Game Without Decency,Stand Alone Games,
______ mesmerized the audience by reading a poem about _______.,PICK 2,The Game Without Decency,Stand Alone Games,,,63 new messages saying either “Hay” or “Wanna fuck?”,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,
______ now comes free with a Happy Meal.,,Evil Apples,Stand Alone Games,,,69ing,Personally Incorrect,Stand Alone Games,
______ now Gluten Free!,,Cakes Athirst Hilarity Volume 2,Third Party Commercial,,,69ing a dirty vagina.,Cakes Athirst Hilarity Volume 2,Third Party Commercial,
______ Plesurable. But Dangerous.,,WTF Did You Say?!?,Stand Alone Games,,,69ing at the bottom of a Burger King ball pit,Evil Apples,Stand Alone Games,
"______ puts tranquilizers in the canned beer, because of ______.",PICK 2,Conspiracy Theory,Stand Alone Games,,,7 Blows with a crowbar on the uppper lip.,Hilarious!,Stand Alone Games,
______ ran for president on a strong platform of using ______ as a national defense.,PICK 2,The Game Without Decency,Stand Alone Games,,,"7 shoes, no pairs",KinderPerfect (Commercial Set),Third Party Commercial,
______ reminds me of my ex.,,"Guards Against Insanity, Edition 3",Third Party Commercial,,,70 Year Old Prostitute(s),Personally Incorrect - Expansion [Red Box],Stand Alone Games,
______ says I don't need to share my ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,70-year-olds who are in better shape than me,Cards Against Profanity,Stand Alone Games,
"______ shaped my childhood, making me the person I am today.",,Cards and Punishment Vol. One,Third Party Commercial,,,"70,000 gamers sweating and farting inside an airtight steel dome.",PAX Prime 2013,CAH Packs/Con Exclusives,
______ should be grounds for a national holiday.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,70's bush.,"Guards Against Insanity, Edition 4",Third Party Commercial,
______ should be taught in schools.,,Words Against Morality: Volume 3,Third Party Commercial,,,70's porn complete with a hairy bush.,WTF Did You Say?!?,Stand Alone Games,
______ should be taught in schools.,,Words Against Morality: Volume 4,Third Party Commercial,,,72 virgins and 1 mission.,WTF Did You Say?!?,Stand Alone Games,
______ showed us that ______ is a great homemade hangover remedy.,PICK 2,The Game Without Decency,Stand Alone Games,,,"72 Virgins, all of whom are babies.","Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
______ spent their big Vegas winnings on a crazy amount of _____.,PICK 2,The Game Without Decency,Stand Alone Games,,,72 virgins.,CAH Base Set,CAH Base Set,
______ sponsored by Crystal Meth.,,Cakes Athirst Hilarity Volume 4,Third Party Commercial,,,72 virgins.,Humanity Hates Trump: Base Set,Stand Alone Games,
